;Ano_de_Fabricacion;Tasacion_millones;Marca_encoded;Numero_asientos;Monto_Total_miles;Numero_Cuota_Permiso
209;2020;7;113;5;1;1
210;2024;12;86;5;2;0
211;2011;2;91;5;0;0
212;2022;8;59;5;1;0
213;2024;15;54;4;3;0
214;2022;9;54;5;2;0
215;2019;6;86;5;1;0
216;2016;5;19;5;0;1
217;2025;21;54;5;3;1
218;2024;14;63;7;3;0
219;2019;13;54;5;1;1
220;2013;3;113;3;0;0
221;2013;3;86;5;0;0
222;2011;3;91;4;0;1
223;2011;2;113;4;0;0
224;2013;4;81;8;0;0
225;2016;3;113;5;0;0
226;2011;4;54;5;0;0
227;2013;4;91;5;0;0
228;2024;9;54;4;1;0
229;2008;2;19;5;0;0
230;2012;0;126;1;0;0
231;2020;23;8;5;3;1
232;2012;5;116;5;1;0
233;2017;4;38;2;0;1
234;2008;3;54;4;0;0
235;2016;10;116;4;1;1
236;2011;5;91;5;1;0
237;2012;2;19;5;0;0
238;2010;4;54;7;0;0
239;2011;4;19;5;0;0
240;2020;10;81;5;2;0
241;2016;5;95;5;0;1
242;2021;9;32;7;1;1
243;2009;3;37;5;0;0
244;2021;9;32;5;1;0
245;2004;2;113;5;0;0
246;2014;4;54;5;0;0
247;2016;5;19;4;1;0
248;2013;3;36;5;0;0
249;2021;2;50;2;0;0
250;2018;4;59;4;0;0
251;2011;3;91;5;0;0
252;2013;2;19;4;0;0
253;2014;2;19;4;0;0
254;2022;7;19;4;0;1
255;2010;4;19;5;0;0
256;2014;2;113;5;0;0
257;2025;11;86;5;2;0
258;2014;1;126;1;0;0
259;2012;6;50;4;1;0
260;2020;12;91;5;2;0
261;2022;15;109;5;2;1
262;2008;4;116;4;0;0
263;2024;25;12;5;2;0
264;2022;8;16;5;1;0
265;2017;8;86;5;1;0
266;2013;2;19;4;0;0
267;2024;8;38;3;1;0
268;2025;102;85;2;42;0
269;2022;10;36;5;1;1
270;2020;1;113;1;0;0
271;2024;11;113;5;2;0
272;2022;9;11;5;1;0
273;2012;2;19;5;0;0
274;2020;12;19;5;3;0
275;2012;2;19;4;0;0
276;2014;6;109;5;1;0
277;2022;8;19;2;1;0
278;2010;4;54;2;0;0
279;2015;6;95;5;1;0
280;2003;1;19;5;0;0
281;2022;9;42;5;2;0
282;2008;4;50;5;0;0
283;2021;7;86;5;1;0
284;2017;3;54;5;0;0
285;2015;3;19;5;0;0
286;2012;4;81;6;0;0
287;2022;7;11;2;1;1
288;2019;4;68;1;0;0
289;2011;2;19;5;0;0
290;2021;10;86;5;2;0
291;2018;6;86;5;1;0
292;2021;10;86;5;1;1
293;2006;2;71;4;0;0
294;1993;1;37;3;0;0
295;1998;2;8;5;0;0
296;2022;14;88;5;3;0
297;2011;3;113;5;0;0
298;2013;3;91;4;0;0
299;2019;8;54;5;1;0
300;2010;3;71;5;0;0
301;2014;6;88;4;1;0
302;2024;9;59;5;1;1
303;2021;9;71;4;1;1
304;2010;2;54;5;0;0
305;2017;10;91;5;1;1
306;2022;13;41;5;3;0
307;2007;3;20;5;0;0
308;1980;0;19;5;0;0
309;2007;2;116;5;0;0
310;2019;5;5;4;1;0
311;2020;6;19;5;1;0
312;2009;2;113;4;0;0
313;2022;3;130;1;0;0
314;2019;9;59;3;1;0
315;2017;9;19;5;1;0
316;2015;8;84;5;1;0
317;2015;2;41;5;0;0
318;2019;10;95;5;1;1
319;2011;2;132;4;0;0
320;2018;5;59;4;0;1
321;2018;8;19;5;1;1
322;2014;3;54;5;0;0
323;2005;2;54;4;0;0
324;2013;3;81;4;0;1
325;2023;15;88;5;3;0
326;1993;1;111;5;0;0
327;2019;6;18;4;0;1
328;2022;9;11;2;1;0
329;2018;7;21;2;1;0
330;2016;8;109;5;1;1
331;2021;4;126;1;0;0
332;2023;13;54;5;3;0
333;2015;3;19;5;0;1
334;2023;39;85;5;13;0
335;2014;3;36;4;0;0
336;2002;2;84;4;0;0
337;2016;4;71;5;0;0
338;2018;5;54;5;1;0
339;2022;15;50;5;3;0
340;2025;11;19;2;1;1
341;2013;3;103;5;0;0
342;2020;8;113;5;1;0
343;2022;52;61;5;9;1
344;2015;10;57;4;2;0
345;2021;6;19;2;1;0
346;2015;5;113;5;1;0
347;2021;13;88;5;1;1
348;2019;10;88;5;2;0
349;2018;14;54;7;3;0
350;2020;19;37;5;5;0
351;2021;1;119;1;0;0
352;2020;9;50;5;1;0
353;1989;0;50;5;0;0
354;2012;12;3;4;1;1
355;2019;19;37;5;5;0
356;2023;12;39;5;2;0
357;1994;1;91;5;0;0
358;2020;6;86;5;1;0
359;1994;1;37;5;0;0
360;2024;12;127;5;1;1
361;2019;5;11;5;1;0
362;2013;2;41;5;0;0
363;1996;1;116;2;0;1
364;2023;11;30;5;2;0
365;2013;5;84;5;0;1
366;2021;4;126;1;0;0
367;2010;2;113;5;0;0
368;2009;2;19;5;0;0
369;2012;2;19;5;0;0
370;2018;10;31;5;2;0
371;2024;20;116;5;3;1
372;2024;11;59;5;2;0
373;2018;4;59;5;0;0
374;2016;6;113;4;1;0
375;2013;2;19;5;0;0
376;2023;18;83;5;4;0
377;2005;2;71;19;0;0
378;2017;5;113;5;1;0
379;2016;8;54;5;1;0
380;2022;4;126;1;0;0
381;2021;20;95;5;5;0
382;2010;2;19;5;0;0
383;2023;10;116;5;2;0
384;2024;12;19;5;2;0
385;2016;9;54;5;1;0
386;2021;8;59;5;1;0
387;2016;4;54;4;0;0
388;2019;7;16;7;1;0
389;2021;15;54;5;3;0
390;2013;4;91;5;0;0
391;2021;6;59;5;1;0
392;2009;3;84;4;0;0
393;2018;9;88;5;1;0
394;2014;3;54;5;0;0
395;2023;7;113;5;0;1
396;2012;1;113;5;0;0
397;2014;6;54;5;1;0
398;2019;13;71;5;3;0
399;2018;7;95;4;1;0
400;2023;13;83;2;3;0
401;2022;11;83;2;1;1
402;2015;3;18;4;0;0
403;2017;10;54;2;2;0
404;2018;7;21;5;1;0
405;2021;14;19;7;3;0
406;2015;5;81;5;0;1
407;2013;2;12;4;0;0
408;2022;6;126;1;0;1
409;2014;7;81;5;0;1
410;2020;1;113;1;0;0
411;2013;3;19;5;0;0
412;2023;11;49;5;2;0
413;1997;1;19;5;0;0
414;2019;10;71;2;2;0
415;2021;6;18;5;1;0
416;2010;5;31;4;1;0
417;2023;8;38;5;1;0
418;2007;2;113;6;0;0
419;2002;2;37;5;0;0
420;2016;11;8;4;2;0
421;2021;9;19;5;2;0
422;2021;15;123;4;3;0
423;2024;20;116;5;5;0
424;2015;3;19;5;0;1
425;2013;4;81;3;0;0
426;2014;3;91;5;0;0
427;2018;11;54;7;2;0
428;2005;3;71;5;0;0
429;2015;8;91;5;1;0
430;2022;6;38;2;1;0
431;2012;3;42;2;0;0
432;1994;1;91;5;0;0
433;2021;15;18;5;3;0
434;2018;5;19;4;1;0
435;2020;2;130;1;0;0
436;2014;0;126;1;0;0
437;2017;3;30;5;0;0
438;2013;2;19;5;0;0
439;2016;7;54;2;0;1
440;1996;1;37;2;0;0
441;2021;7;32;4;1;0
442;2021;7;32;5;1;0
443;2022;9;86;5;1;1
444;2022;15;83;4;3;0
445;2017;3;54;5;0;0
446;2021;14;54;5;3;0
447;2014;18;85;1;4;0
448;2007;3;19;3;0;0
449;2025;23;88;5;3;1
450;2021;20;37;5;5;0
451;2013;6;91;5;1;0
452;2020;6;18;5;0;1
453;2018;8;116;5;1;0
454;2019;5;54;5;1;0
455;2004;2;37;5;0;0
456;2022;11;116;5;2;0
457;2017;6;81;5;1;0
458;2020;6;99;5;0;1
459;2011;2;103;5;0;0
460;2012;3;54;5;0;1
461;2019;19;37;5;5;0
462;2022;8;38;4;1;0
463;2021;1;6;2;0;0
464;2017;6;5;5;0;1
465;2015;9;37;5;1;0
466;2015;5;84;4;1;0
467;2015;10;54;5;1;1
468;2018;7;113;5;1;0
469;2020;6;54;5;1;0
470;2017;9;91;5;2;0
471;2011;2;103;4;0;0
472;2012;2;42;5;0;0
473;2015;3;54;4;0;0
474;2022;1;50;2;0;0
475;2006;2;91;5;0;0
476;2013;9;123;4;1;0
477;2019;5;38;2;1;0
478;2015;8;50;5;1;0
479;2012;4;54;5;0;1
480;2012;2;19;5;0;0
481;2011;2;36;2;0;0
482;2010;3;91;5;0;0
483;2017;4;59;1;0;0
484;2019;7;16;5;0;1
485;2024;8;38;5;1;0
486;2016;8;54;4;1;0
487;2018;5;54;5;1;0
488;2015;5;24;4;1;0
489;2023;7;42;5;1;0
490;2012;3;19;5;0;0
491;2017;2;40;2;0;0
492;2016;8;54;5;1;0
493;2008;2;19;5;0;0
494;2005;2;71;2;0;0
495;2021;6;19;2;0;1
496;2023;11;59;5;2;0
497;2023;10;30;5;1;1
498;2017;4;32;5;0;0
499;2023;6;38;2;1;0
500;2022;7;19;4;1;1
501;2016;9;54;5;2;0
502;2013;6;113;5;1;0
503;2014;6;113;5;1;0
504;2019;7;18;5;1;0
505;1996;1;54;5;0;0
506;2021;16;54;3;4;0
507;2012;5;91;4;1;0
508;2018;3;126;2;0;0
509;2023;11;86;5;2;0
510;2024;16;41;5;3;0
511;2015;4;113;5;0;0
512;2016;6;116;5;1;0
513;2023;13;54;5;3;0
514;2020;8;50;5;1;0
515;2016;2;40;5;0;0
516;2016;1;115;1;0;0
517;2009;4;106;5;0;0
518;2021;11;42;5;2;0
519;2024;1;69;2;0;0
520;2016;9;54;2;1;0
521;2012;4;54;5;0;0
522;2018;6;19;5;1;0
523;2022;2;6;2;0;0
524;2008;3;54;5;0;0
525;2015;8;91;7;1;0
526;2006;2;116;5;0;0
527;2023;8;16;5;1;0
528;2019;4;30;4;0;0
529;1997;1;91;5;0;0
530;2014;3;131;4;0;0
531;2024;10;81;5;1;1
532;2015;3;91;5;0;0
533;2019;6;5;4;1;0
534;2022;10;19;5;2;0
535;2013;6;109;5;1;0
536;2013;8;37;4;1;0
537;2018;8;123;5;1;0
538;2014;4;109;5;0;0
539;2015;5;11;5;0;1
540;2013;3;95;4;0;0
541;2004;1;19;5;0;0
542;2022;19;37;5;2;1
543;2016;7;81;5;1;0
544;2017;7;109;5;1;0
545;2003;2;88;5;0;0
546;1989;0;91;5;0;0
547;2024;9;86;5;2;0
548;2011;3;71;4;0;0
549;2015;4;54;4;0;0
550;2004;1;91;5;0;0
551;2017;17;85;5;2;1
552;2009;2;48;2;0;0
553;1997;1;37;2;0;0
554;2021;13;54;5;3;0
555;2021;13;86;5;1;1
556;2016;5;113;5;1;0
557;2024;14;19;5;2;1
558;2014;2;79;3;0;0
559;1997;1;54;4;0;0
560;2017;4;113;5;0;0
561;2013;4;54;2;0;0
562;2018;8;54;4;1;0
563;2013;6;19;5;1;0
564;2021;2;73;2;0;0
565;2012;4;19;4;0;0
566;2016;5;54;5;1;0
567;2012;5;54;4;0;1
568;2015;5;16;5;1;0
569;2013;2;19;4;0;0
570;2021;9;28;4;1;1
571;2024;9;74;2;1;1
572;2017;3;19;5;0;0
573;2018;10;91;2;1;1
574;2016;4;54;5;0;1
575;2009;2;19;5;0;0
576;2020;2;50;2;0;0
577;2020;5;35;5;1;0
578;2022;14;21;5;3;0
